Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
SHEIN I am a Mom Graphic Short Sleeve Tee,SKU: swtee07190116409,US$7.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/05/28/15590065453992289595_thumbnail_900x1199.webp,None,3099 Reviews,"[['', 'Kudos to all ya mommy’s out there!!! My daughters are 18 and 12 and I am one proud mommy rockin this t-shirt!!! Quality is A1!!!! Love this!!!!!!', 'None'], ['', 'Definitely worth the purchase, it’s a soft tee and I got a medium as I’m between small and medium and the medium fit with extra room to tie or tuck into jeans or skirt so I’d say go with ur size or go up if u want a loose fit it’s 60% cotton so it’s definitely a very soft tee, Id but if their were more colors because I don’t trust myself with white lol but I love this shirt (also ignore measurements they are not right)', 'None'], ['', 'Soft T-shirt. Feels normal. I like it for my lazier days. Days I don’t care to dress up or get around. True to size. 120lbs 5’6”..', 'None']]",3099 Reviews,
Figure & Letter Graphic Tee,SKU: swtee03200420298,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/22/1587495025706bf96bd3e0e911d4f4b62725babd57_thumbnail_900x.webp,4.8,770 Reviews,"[['', 'I really liked this shirt, says 100% cotton, fits good. Got a size medium im 160 pds, 38B', '4.8'], ['', 'Love this top. Great quality true to size.', '4.8'], ['', 'Got a large for a loose look but a medium would have been better, it is too big but quality and design are great', '4.8']]",770 Reviews,
SHEIN Drop Shoulder Letter & Skull Print Longline Tee,SKU: swtee07200617590,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/07/02/1593655509728a501b3520462c2b81baefa7d8b028_thumbnail_900x.webp,4.7,NEW,"[['', 'super cute not see through', '4.7'], ['', 'I recommend sizing up. I’m usually a M but I got a L in this shirt so it comes just below the bootay 🍑. It would still be oversized if you don’t size up but it would be the nice kinds of oversized that we all strive for. Well atleast what i strive for. lol tf am i saying. Anyways it’s really good and the design and bleach isn’t printed on it’s actually a part of the shirt which i love. Kinda see through when you’re not wearing it but when you put it on it’s not see through anymore so that’s good. It has a silky feel which is nice on the skin and better than cotton in my opinion. I’m really happy it’s my favourite shirt. My mum hates the skull on it tho lol 😆 . Perfect with biker shorts. ps Ignore the measurements below I just put in random stuff lol', '4.7'], ['', 'great material still large even though I got an XS , but it’s still cute .', '4.7']]",NEW,
Car & Letter Graphic Tee,SKU: swtee03200506342,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/09/1589035207f96a3a050bffe9a3c9fbbe31f61f7cf0_thumbnail_900x.webp,4.7,3166 Reviews,"[['', 'i usually wear a size medium or small, but i ordered a large and it fits snug but perfect. definelty size up!', '4.7'], ['', 'Very cute! The material is perfect. 100% cotton super comfortable. (Ignore measurement below)', '4.7'], ['', 'LOVE THIS TOP SO MUCH!!! if you are not sure if you should buy this then definitely do. :):):):):):):):):):):):):):):):):):):):)!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '4.7']]",3166 Reviews,
Slogan Graphic Drop Shoulder Longline Tee,SKU: swtee04200409736,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/03/15884965823ff92024974536a921b75d78d4d2d319_thumbnail_900x.webp,4.8,1806 Reviews,"[['', 'Super cute and SOFT, best quality ever', '4.8'], ['', 'This shirt is so cute but the shirt makes me feel a little out of my confront zone but thats ok because I want to try new type of style.', '4.8'], ['', 'Big but super cute', '4.8']]",1806 Reviews,
Letter Graphic Crop Tee,SKU: rtsh180308175,US$9.00,NULL,https://img.ltwebstatic.com/images/pi/201803/47/15204014599824984612_thumbnail_900x.webp,None,8414 Reviews,"[['', 'Love love love this shirt but if you don’t like a good crop, it’s not gonna be for you.', 'None'], ['', 'super cute shirt. I’m usually a small but I got the medium so it would be a little more baggy. if you want it to be a crop top and a little tight I would get your normal size but if you wanted it to be a looser T-shirt get a size up! Overall color is really pretty, nice quality! cute shirt!', 'None'], ['', 'Love this shirt!', 'None']]",8414 Reviews,
Social Distancing Graphic Short Sleeve Tee,SKU: swtee23200602681,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/08/1591593021ae8e3a308b71fe0341126a473d08cad7_thumbnail_900x.webp,4.9,1262 Reviews,"[['', 'Love this tee. Great to wear outside in public and remind everyone to keep away lol', '4.9'], ['', 'Super comfy and good for when the second wave of Covid hits!', '4.9'], ['', 'Cute t shirt. I noticed one of the letters are missing but I’ll still wear it anyways.', '4.9']]",1262 Reviews,
Lightning Print Oversized Tee,SKU: swtee04200402549,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/20/15873492498dfdb7b3fa29ec67c8824283fbd8499f_thumbnail_900x.webp,4.8,1145 Reviews,"[['', 'SIZE DOWN!!!!!!! i got a small & fit me great, if you want it extremely oversized then you can just get your normal size, but this small feels like a large// go checkout my tiktok lol @skylerrosser for the video', '4.8'], ['', 'super cute and nice material this is a small and it fits my dad 😂', '4.8'], ['', 'im usually a medium so i got a small because of reviews iv seen but depending on the look youre going for. perfect size if you want it a little baggy but if you want it to fit better the get xs. I really love this shirt its so comfortable and the material is good', '4.8']]",1145 Reviews,
Cartoon And Letter Graphic Tee,SKU: swtee00200407986,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/07/1586245929ae963df896aefca4b529e709cdf99429_thumbnail_900x.webp,None,9999+ Reviews,"[['', 'Love, love, love. I ordered a size up to make it off the shoulders but had to cut the sides in the end. Still love the shirt.', 'None'], ['', 'True to size', 'None'], ['', 'Paired it with some cute bottoms, love it', 'None']]",9999+ Reviews,
Letter Graphic Oversized Tee,SKU: swtee03200415083,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/08/159161340419ad8f8d64e37f0eeb2c73866ba6037c_thumbnail_900x.webp,None,3605 Reviews,"[['', 'it’s an oversized tee so DEFINITELY size down I would have been good w/ an XS but it’s super cute', 'None'], ['', 'This definitely was oversized! It had a thin material (not see through) and the graphic is paper feeling. I still love and recommend this!', 'None'], ['', 'Just like the picture and good materialistic , but the logo isn’t centered on mine. Also don’t dry, even on delicate, because it will shrink.', 'None']]",3605 Reviews,
New York Graphic Boxy Tee,SKU: RTSH160711125,US$8.00,NULL,https://img.ltwebstatic.com/images/pi/201706/e5/14982046884926625224_thumbnail_900x.webp,4.8,2538 Reviews,"[['', 'I love this shirt! The material is soft, not like viscose but close enough. The print landed right above my boob, it’s spelled correctly and there’s no loose strings. When I first saw it I thought to myself “wow, this is short”, but when I put it on it was still okay. In the second picture I am pulling my pants down. As you see, this shirt covers my belly button. So it’s still a decent length. I’m 5’6 /168cm tall. So this shirt will only show your stomach if you’re a very tall person. This shirt is not see through either which is great. I thought this might not fit me since I sometimes have to buy plus size things, but it fit great!', '4.8'], ['', 'Love love love it! Yellow is such a happy color and this top instantly makes you look lively and bright.I first bought the blue one and liked it so much so I then bought the yellow! I sized up though since I wanted a more oversized fit.', '4.8'], ['', 'I went two sizes bigger because I read that it ran a little small and Im very glad I did! I wanted it to be a little baggier but the cropped-ness is still there:) perfect!', '4.8']]",2538 Reviews,
